Tune,Set,Measure,StartBeat,Counts,Drill_Page,Music_Page,Label
Vehicle,Set #1 and #2,1,1,4,2,1,
Vehicle,,2,5,4,,,
Vehicle,,3,9,4,,,
Vehicle,Set #2a,4,13,4,2,1,
Vehicle,,5,17,4,,,
Vehicle,,6,21,4,,2,
Vehicle,,7,25,4,,,
Vehicle,Set #3,8,29,4,3,2,
Vehicle,,9,33,4,,,
Vehicle,,10,37,4,,,
Vehicle,,11,41,4,,,
Vehicle,Set #4,12,45,4,4,3,
Vehicle,,13,49,4,,,
Vehicle,,14,53,4,,,
Vehicle,,15,57,4,,,
Vehicle,Set #5,16,61,4,5,3,
Vehicle,,17,65,4,,,
Vehicle,Set #6,18,69,4,6,4,
Vehicle,Set #6a,19,73,4,6,4,
Vehicle,,20,77,4,,,
Vehicle,,21,81,4,,,
Vehicle,,22,85,4,,,
Vehicle,Set #7,23,89,4,7,4,
Vehicle,,24,93,4,,5,
Vehicle,,25,97,4,,,
Vehicle,,26,101,4,,,
Vehicle,Set #8,27,105,4,8,5,
Vehicle,,28,109,4,,,
Vehicle,,29,113,4,,6,
Vehicle,,30,117,4,,,
Vehicle,Set #9,31,121,4,9,6,
Vehicle,,32,125,4,,,
Vehicle,Set #10,33,129,4,10,6,
Vehicle,Set #10a,34,133,4,10,7,
Vehicle,,35,137,4,,,
Vehicle,,36,141,4,,,
Vehicle,,37,145,4,,,
Vehicle,Set #11,38,149,4,11,7,
Vehicle,Set #12,39,153,4,12,8,
Vehicle,,40,157,4,,,
Vehicle,,41,161,4,,,
Vehicle,Set #13,42,165,4,13,8,
Vehicle,Set #13a,43,169,4,13,8,
Vehicle,,44,173,4,,9,
Vehicle,,45,177,4,,,
Vehicle,,46,181,4,,,
Vehicle,Set #14,47,185,4,14,9,
Vehicle,,48,189,4,,,
Vehicle,,49,193,4,,10,
Vehicle,,50,197,4,,,
Vehicle,Set #15,51,201,4,15,10,
Vehicle,Set #16 & 17,52,205,4,16,10,
Vehicle,Set 17-END,53,209,4,17,10,
Hit_the_Road_Jack,Set #1,1,1,4,1,,
Hit_the_Road_Jack,,2,5,4,,,
Hit_the_Road_Jack,,3,9,4,,,
Hit_the_Road_Jack,,4,13,4,,,
Hit_the_Road_Jack,Set #2 (& Set 3),5,17,4,2,,
Hit_the_Road_Jack,,6,21,4,,,
Hit_the_Road_Jack,,7,25,4,,,
Hit_the_Road_Jack,,8,29,4,,,
Hit_the_Road_Jack,,9,33,4,,,
Hit_the_Road_Jack,,10,37,4,,,
Hit_the_Road_Jack,,11,41,4,,,
Hit_the_Road_Jack,,12,45,4,,,1st ending
Hit_the_Road_Jack,,13,49,4,,,5 2nd Time
Hit_the_Road_Jack,,14,53,4,,,6 2nd Time
Hit_the_Road_Jack,,15,57,4,,,7 2nd Time
Hit_the_Road_Jack,,16,61,4,,,8 2nd Time
Hit_the_Road_Jack,,17,65,4,,,9 2nd Time
Hit_the_Road_Jack,,18,69,4,,,10 2nd Time
Hit_the_Road_Jack,,19,73,4,,,11 2nd Time
Hit_the_Road_Jack,,20,77,4,,,2nd Ending
Hit_the_Road_Jack,,21,81,4,,,mm 14
Hit_the_Road_Jack,,22,85,4,,,mm 15
Hit_the_Road_Jack,,23,89,4,,,mm 16
Hit_the_Road_Jack,,24,93,4,,,mm 17
Hit_the_Road_Jack,,25,97,4,,,mm 18
Hit_the_Road_Jack,,26,101,4,,,mm 19
Hit_the_Road_Jack,,27,105,4,,,mm 20
Hit_the_Road_Jack,,28,109,4,,,mm 21
Hit_the_Road_Jack,,29,113,4,,,mm 22
Hit_the_Road_Jack,,30,117,4,,,mm 23
Hit_the_Road_Jack,,31,121,4,,,mm 24
Hit_the_Road_Jack,,32,125,4,,,mm 25
Hit_the_Road_Jack,Set #3 (3a),33,129,4,3,,mm 26
Hit_the_Road_Jack,,34,133,4,,,mm 27
Hit_the_Road_Jack,,35,137,4,,,mm 28
Hit_the_Road_Jack,,36,141,4,,,mm 29
Hit_the_Road_Jack,Set #4,37,145,4,4,,mm 30
Hit_the_Road_Jack,,38,149,4,,,mm 31
Hit_the_Road_Jack,,39,153,4,,,mm 32
Hit_the_Road_Jack,,40,157,4,,,mm 33
Hit_the_Road_Jack,Set #5 & 6,41,161,4,5,,mm 34
Hit_the_Road_Jack,,42,165,4,,,mm 35
Hit_the_Road_Jack,,43,169,4,,,mm 36
Hit_the_Road_Jack,,44,173,4,,,mm 37
Hit_the_Road_Jack,,45,177,4,,,mm 38
Hit_the_Road_Jack,,46,181,4,,,mm 39
Hit_the_Road_Jack,,47,185,4,,,mm 40
Hit_the_Road_Jack,,48,189,4,,,mm 41
Hit_the_Road_Jack,,49,193,4,,,mm 42
Hit_the_Road_Jack,,50,197,4,,,mm 43
Hit_the_Road_Jack,,51,201,4,,,mm 44
Hit_the_Road_Jack,,52,205,4,,,mm 45
Hit_the_Road_Jack,,53,209,4,,,mm 46
